( 0::bigint, 'A' ),
( 1::bigint, 'B' ),
( 2::bigint, 'C' ),
( 3::bigint, 'D' ),
( 4::bigint, 'E' ),
( 5::bigint, 'F' ),
( 6::bigint, 'G' ),
( 7::bigint, 'H' );

( 09/23/2018::timestamp, 7::bigint, 5 ),
( 11/21/2017::timestamp, 0::bigint, 18 ),
( 12/06/2015::timestamp, 2::bigint, 2 ),
( 09/15/2001::timestamp, 1::bigint, 3 ),
( 02/05/2002::timestamp, 4::bigint, 4 ),
( 05/21/2015::timestamp, 1::bigint, 7 ),
( 05/17/2007::timestamp, 3::bigint, 17 ),
( 01/01/2001::timestamp, 7::bigint, 12 ),
( 08/18/2004::timestamp, 5::bigint, 2 ),
( 02/26/2016::timestamp, 0::bigint, 13 ),
( 01/14/2019::timestamp, 1::bigint, 17 ),
( 10/24/2010::timestamp, 6::bigint, 16 ),
( 07/28/2002::timestamp, 3::bigint, 9 ),
( 01/24/2000::timestamp, 7::bigint, 19 ),
( 03/05/2002::timestamp, 4::bigint, 7 ),
( 04/01/2015::timestamp, 7::bigint, 17 ),
( 05/09/2008::timestamp, 2::bigint, 12 ),
( 07/30/2015::timestamp, 2::bigint, 17 ),
( 01/26/2001::timestamp, 5::bigint, 7 ),
( 11/05/2007::timestamp, 4::bigint, 15 ),
( 04/13/2019::timestamp, 6::bigint, 6 ),
( 03/20/2003::timestamp, 7::bigint, 8 ),
( 06/04/2012::timestamp, 5::bigint, 13 ),
( 02/28/2014::timestamp, 2::bigint, 19 ),
( 05/24/2012::timestamp, 0::bigint, 1 ),
( 12/10/2014::timestamp, 5::bigint, 7 ),
( 02/28/2009::timestamp, 4::bigint, 19 ),
( 03/11/2010::timestamp, 7::bigint, 5 ),
( 11/14/2018::timestamp, 4::bigint, 12 ),
( 06/05/2010::timestamp, 1::bigint, 19 ),
( 12/03/2009::timestamp, 0::bigint, 15 ),
( 02/10/2011::timestamp, 4::bigint, 2 ),
( 09/09/2016::timestamp, 3::bigint, 16 ),
( 04/26/2000::timestamp, 3::bigint, 18 ),
( 03/12/2002::timestamp, 3::bigint, 16 ),
( 08/07/2011::timestamp, 0::bigint, 1 ),
( 06/25/2008::timestamp, 5::bigint, 8 ),
( 09/17/2002::timestamp, 1::bigint, 9 ),
( 03/01/2006::timestamp, 2::bigint, 9 ),
( 08/26/2011::timestamp, 2::bigint, 3 ),
( 11/03/2013::timestamp, 7::bigint, 9 ),
( 07/01/2004::timestamp, 6::bigint, 7 ),
( 01/26/2014::timestamp, 7::bigint, 4 ),
( 01/12/2000::timestamp, 0::bigint, 1 ),
( 09/15/2003::timestamp, 4::bigint, 19 ),
( 05/19/2005::timestamp, 6::bigint, 14 ),
( 01/19/2006::timestamp, 1::bigint, 5 ),
( 02/21/2011::timestamp, 1::bigint, 9 ),
( 02/16/2004::timestamp, 0::bigint, 12 ),
( 06/04/2016::timestamp, 4::bigint, 7 ),
( 09/12/2011::timestamp, 2::bigint, 8 ),
( 02/20/2005::timestamp, 6::bigint, 13 ),
( 06/23/2006::timestamp, 7::bigint, 6 ),
( 09/29/2015::timestamp, 3::bigint, 15 ),
( 08/04/2007::timestamp, 1::bigint, 3 ),
( 11/02/2005::timestamp, 5::bigint, 19 ),
( 11/24/2012::timestamp, 7::bigint, 8 ),
( 12/26/2006::timestamp, 5::bigint, 7 ),
( 12/10/2006::timestamp, 4::bigint, 7 ),
( 09/25/2007::timestamp, 5::bigint, 4 ),
( 07/21/2014::timestamp, 2::bigint, 13 ),
( 05/09/2013::timestamp, 6::bigint, 19 ),
( 02/08/2003::timestamp, 7::bigint, 3 ),
( 02/18/2004::timestamp, 6::bigint, 4 ),
( 04/24/2016::timestamp, 6::bigint, 10 ),
( 03/07/2019::timestamp, 2::bigint, 3 ),
( 11/26/2014::timestamp, 2::bigint, 12 ),
( 04/27/2014::timestamp, 5::bigint, 3 ),
( 11/27/2016::timestamp, 6::bigint, 6 ),
( 07/14/2004::timestamp, 2::bigint, 8 ),
( 11/06/2008::timestamp, 1::bigint, 1 ),
( 05/05/2007::timestamp, 1::bigint, 1 ),
( 06/17/2018::timestamp, 5::bigint, 3 ),
( 03/12/2002::timestamp, 4::bigint, 13 ),
( 01/10/2007::timestamp, 0::bigint, 19 ),
( 06/24/2011::timestamp, 4::bigint, 3 ),
( 04/12/2010::timestamp, 4::bigint, 19 ),
( 12/22/2009::timestamp, 6::bigint, 13 ),
( 12/21/2004::timestamp, 2::bigint, 14 ),
( 01/25/2000::timestamp, 0::bigint, 1 ),
( 06/26/2003::timestamp, 4::bigint, 15 ),
( 02/05/2003::timestamp, 1::bigint, 14 ),
( 05/04/2004::timestamp, 0::bigint, 13 ),
( 03/15/2016::timestamp, 4::bigint, 18 ),
( 08/25/2019::timestamp, 2::bigint, 9 ),
( 10/12/2010::timestamp, 0::bigint, 18 ),
( 10/07/2016::timestamp, 4::bigint, 8 ),
( 04/11/2004::timestamp, 5::bigint, 18 ),
( 12/10/2005::timestamp, 6::bigint, 3 ),
( 09/03/2002::timestamp, 6::bigint, 1 ),
( 01/03/2013::timestamp, 3::bigint, 12 ),
( 08/17/2013::timestamp, 5::bigint, 8 ),
( 03/18/2006::timestamp, 4::bigint, 12 ),
( 09/23/2018::timestamp, 1::bigint, 4 ),
( 11/05/2017::timestamp, 6::bigint, 18 ),
( 11/08/2008::timestamp, 5::bigint, 1 ),
( 04/26/2018::timestamp, 3::bigint, 3 ),
( 08/24/2015::timestamp, 0::bigint, 9 ),
( 09/27/2017::timestamp, 4::bigint, 7 ),
( 03/07/2002::timestamp, 6::bigint, 4 ),
( 10/29/2011::timestamp, 2::bigint, 10 ),
( 06/07/2017::timestamp, 7::bigint, 14 ),
( 05/16/2006::timestamp, 4::bigint, 16 ),
( 10/24/2006::timestamp, 2::bigint, 6 ),
( 12/05/2008::timestamp, 4::bigint, 6 ),
( 10/08/2015::timestamp, 5::bigint, 9 ),
( 08/13/2003::timestamp, 4::bigint, 2 ),
( 09/10/2004::timestamp, 7::bigint, 14 ),
( 12/05/2014::timestamp, 7::bigint, 14 ),
( 07/06/2001::timestamp, 5::bigint, 14 ),
( 09/07/2015::timestamp, 6::bigint, 13 ),
( 10/22/2019::timestamp, 0::bigint, 6 ),
( 09/23/2013::timestamp, 6::bigint, 17 ),
( 05/20/2003::timestamp, 4::bigint, 7 ),
( 12/16/2016::timestamp, 6::bigint, 6 ),
( 05/06/2017::timestamp, 0::bigint, 19 ),
( 09/08/2016::timestamp, 0::bigint, 15 ),
( 09/06/2011::timestamp, 1::bigint, 19 ),
( 10/12/2012::timestamp, 7::bigint, 14 ),
( 03/18/2000::timestamp, 5::bigint, 17 ),
( 04/05/2019::timestamp, 7::bigint, 14 ),
( 03/15/2016::timestamp, 3::bigint, 8 ),
( 07/27/2004::timestamp, 4::bigint, 19 ),
( 03/20/2015::timestamp, 6::bigint, 19 ),
( 08/29/2017::timestamp, 2::bigint, 8 ),
( 11/10/2009::timestamp, 5::bigint, 8 ),
( 08/02/2000::timestamp, 5::bigint, 14 ),
( 10/15/2006::timestamp, 3::bigint, 13 ),
( 03/02/2019::timestamp, 5::bigint, 9 ),
( 10/25/2002::timestamp, 4::bigint, 12 ),
( 06/01/2013::timestamp, 0::bigint, 17 ),
( 08/17/2005::timestamp, 2::bigint, 1 ),
( 12/06/2015::timestamp, 5::bigint, 2 ),
( 08/23/2010::timestamp, 1::bigint, 3 ),
( 07/20/2000::timestamp, 7::bigint, 19 ),
( 08/05/2004::timestamp, 6::bigint, 18 ),
( 11/07/2000::timestamp, 4::bigint, 18 ),
( 11/03/2000::timestamp, 4::bigint, 8 ),
( 03/12/2015::timestamp, 5::bigint, 8 ),
( 02/14/2016::timestamp, 0::bigint, 5 ),
( 11/14/2016::timestamp, 2::bigint, 6 ),
( 03/05/2002::timestamp, 1::bigint, 5 ),
( 03/27/2008::timestamp, 3::bigint, 18 ),
( 05/23/2012::timestamp, 0::bigint, 9 ),
( 04/01/2015::timestamp, 0::bigint, 6 ),
( 04/08/2019::timestamp, 3::bigint, 14 ),
( 08/31/2017::timestamp, 4::bigint, 14 ),
( 04/09/2007::timestamp, 3::bigint, 13 ),
( 11/04/2014::timestamp, 1::bigint, 11 ),
( 01/24/2001::timestamp, 3::bigint, 16 ),
( 12/10/2014::timestamp, 0::bigint, 16 ),
( 12/16/2016::timestamp, 1::bigint, 18 ),
( 01/17/2002::timestamp, 4::bigint, 3 ),
( 02/25/2010::timestamp, 6::bigint, 10 ),
( 07/10/2012::timestamp, 5::bigint, 14 ),
( 06/28/2003::timestamp, 1::bigint, 19 ),
( 10/11/2000::timestamp, 4::bigint, 7 ),
( 04/05/2019::timestamp, 0::bigint, 14 ),
( 02/10/2011::timestamp, 3::bigint, 7 ),
( 08/29/2017::timestamp, 5::bigint, 10 ),
( 07/01/2004::timestamp, 1::bigint, 2 ),
( 07/04/2003::timestamp, 0::bigint, 8 ),
( 09/17/2002::timestamp, 6::bigint, 10 ),
( 09/23/2014::timestamp, 3::bigint, 1 ),
( 06/05/2002::timestamp, 3::bigint, 5 ),
( 09/15/2003::timestamp, 1::bigint, 18 ),
( 05/22/2017::timestamp, 2::bigint, 18 ),
( 10/14/2009::timestamp, 5::bigint, 11 ),
( 06/29/2004::timestamp, 3::bigint, 6 ),
( 11/21/2017::timestamp, 2::bigint, 9 ),
( 08/08/2013::timestamp, 5::bigint, 16 ),
( 09/15/2001::timestamp, 7::bigint, 12 ),
( 05/17/2007::timestamp, 5::bigint, 17 ),
( 03/18/2003::timestamp, 2::bigint, 16 ),
( 02/16/2004::timestamp, 5::bigint, 17 ),
( 06/18/2007::timestamp, 0::bigint, 5 ),
( 05/18/2005::timestamp, 4::bigint, 7 ),
( 09/12/2011::timestamp, 7::bigint, 11 ),
( 07/28/2002::timestamp, 1::bigint, 19 ),
( 09/29/2015::timestamp, 6::bigint, 7 ),
( 01/24/2000::timestamp, 1::bigint, 2 ),
( 02/07/2013::timestamp, 7::bigint, 2 ),
( 11/02/2005::timestamp, 2::bigint, 5 ),
( 02/26/2008::timestamp, 7::bigint, 7 ),
( 11/05/2007::timestamp, 6::bigint, 19 ),
( 07/21/2014::timestamp, 7::bigint, 4 ),
( 08/11/2016::timestamp, 3::bigint, 4 ),
( 06/04/2012::timestamp, 7::bigint, 9 ),
( 03/19/2005::timestamp, 7::bigint, 3 ),
( 06/27/2011::timestamp, 3::bigint, 2 ),
( 12/10/2014::timestamp, 7::bigint, 14 ),
( 05/24/2012::timestamp, 2::bigint, 16 ),
( 11/25/2018::timestamp, 5::bigint, 10 ),
( 06/05/2010::timestamp, 7::bigint, 15 ),
( 03/10/2010::timestamp, 5::bigint, 13 ),
( 11/05/2019::timestamp, 6::bigint, 7 ),
( 05/27/2012::timestamp, 6::bigint, 8 ),
( 04/26/2000::timestamp, 1::bigint, 15 ),
( 04/25/2012::timestamp, 4::bigint, 9 ),
( 10/28/2010::timestamp, 3::bigint, 14 ),
( 04/09/2005::timestamp, 3::bigint, 19 ),
( 04/11/2004::timestamp, 7::bigint, 5 ),
( 11/03/2013::timestamp, 5::bigint, 1 ),
( 01/28/2010::timestamp, 3::bigint, 18 ),
( 08/25/2019::timestamp, 5::bigint, 15 ),
( 01/14/2008::timestamp, 2::bigint, 15 ),
( 03/18/2007::timestamp, 5::bigint, 3 ),
( 06/26/2003::timestamp, 3::bigint, 16 ),
( 07/20/2005::timestamp, 4::bigint, 18 ),
( 06/09/2011::timestamp, 6::bigint, 13 ),
( 02/16/2004::timestamp, 2::bigint, 7 ),
( 08/17/2013::timestamp, 2::bigint, 11 ),
( 03/18/2006::timestamp, 3::bigint, 12 ),
( 06/23/2006::timestamp, 5::bigint, 16 ),
( 06/11/2004::timestamp, 4::bigint, 1 ),
( 02/07/2012::timestamp, 2::bigint, 10 ),
( 04/05/2001::timestamp, 3::bigint, 3 ),
( 03/07/2004::timestamp, 7::bigint, 7 ),
( 08/16/2014::timestamp, 7::bigint, 17 ),
( 08/24/2015::timestamp, 5::bigint, 2 ),
( 11/24/2012::timestamp, 5::bigint, 10 ),
( 06/14/2009::timestamp, 2::bigint, 19 ),
( 03/07/2002::timestamp, 1::bigint, 9 ),
( 12/05/2008::timestamp, 3::bigint, 15 ),
( 04/24/2005::timestamp, 1::bigint, 5 ),
( 11/20/2004::timestamp, 2::bigint, 13 ),
( 09/14/2019::timestamp, 3::bigint, 16 ),
( 02/08/2003::timestamp, 1::bigint, 1 ),
( 02/18/2004::timestamp, 4::bigint, 17 ),
( 04/24/2016::timestamp, 4::bigint, 6 ),
( 10/08/2015::timestamp, 2::bigint, 6 ),
( 10/11/2013::timestamp, 0::bigint, 2 ),
( 09/07/2015::timestamp, 3::bigint, 12 ),
( 12/05/2014::timestamp, 2::bigint, 19 ),
( 02/17/2010::timestamp, 0::bigint, 12 ),
( 11/12/2003::timestamp, 3::bigint, 14 ),
( 11/27/2016::timestamp, 0::bigint, 17 ),
( 04/27/2014::timestamp, 7::bigint, 5 ),
( 05/17/2005::timestamp, 6::bigint, 9 ),
( 07/14/2004::timestamp, 0::bigint, 1 ),
( 11/20/2014::timestamp, 4::bigint, 19 ),
( 12/18/2000::timestamp, 2::bigint, 14 ),
( 06/24/2011::timestamp, 6::bigint, 2 ),
( 08/20/2014::timestamp, 0::bigint, 17 ),
( 12/22/2009::timestamp, 0::bigint, 6 ),
( 12/10/2005::timestamp, 4::bigint, 10 ),
( 04/06/2005::timestamp, 6::bigint, 17 ),
( 08/02/2000::timestamp, 2::bigint, 8 ),
( 03/02/2019::timestamp, 0::bigint, 4 ),
( 10/25/2002::timestamp, 1::bigint, 9 ),
( 09/23/2018::timestamp, 3::bigint, 16 ),
( 07/22/2001::timestamp, 1::bigint, 14 ),
( 11/08/2008::timestamp, 7::bigint, 5 ),
( 09/23/2009::timestamp, 7::bigint, 3 ),
( 07/05/2011::timestamp, 3::bigint, 4 ),
( 05/19/2010::timestamp, 1::bigint, 2 ),
( 12/21/2000::timestamp, 5::bigint, 14 ),
( 05/16/2006::timestamp, 2::bigint, 14 ),
( 09/07/2003::timestamp, 7::bigint, 13 ),
( 11/07/2001::timestamp, 4::bigint, 17 ),
( 02/13/2006::timestamp, 2::bigint, 17 ),
( 04/08/2019::timestamp, 6::bigint, 10 ),
( 08/13/2003::timestamp, 2::bigint, 17 ),
( 10/07/2016::timestamp, 6::bigint, 4 ),
( 09/10/2004::timestamp, 5::bigint, 6 ),
( 08/18/2009::timestamp, 2::bigint, 18 ),
( 04/09/2007::timestamp, 6::bigint, 8 ),
( 01/23/2007::timestamp, 1::bigint, 13 ),
( 09/23/2013::timestamp, 0::bigint, 6 ),
( 01/24/2001::timestamp, 4::bigint, 8 ),
( 09/02/2009::timestamp, 1::bigint, 1 ),
( 04/16/2019::timestamp, 0::bigint, 2 ),
( 12/16/2016::timestamp, 4::bigint, 19 ),
( 09/01/2018::timestamp, 6::bigint, 9 ),
( 09/06/2011::timestamp, 3::bigint, 15 ),
( 10/11/2000::timestamp, 1::bigint, 8 ),
( 10/12/2012::timestamp, 1::bigint, 18 ),
( 03/06/2011::timestamp, 5::bigint, 13 ),
( 06/19/2005::timestamp, 1::bigint, 9 ),
( 03/18/2000::timestamp, 7::bigint, 7 ),
( 12/02/2003::timestamp, 7::bigint, 17 ),
( 07/27/2004::timestamp, 6::bigint, 14 ),
( 08/29/2017::timestamp, 0::bigint, 8 ),
( 11/29/2012::timestamp, 5::bigint, 16 ),
( 12/20/2000::timestamp, 5::bigint, 15 ),
( 05/22/2017::timestamp, 7::bigint, 14 ),
( 10/15/2006::timestamp, 1::bigint, 3 ),
( 03/02/2019::timestamp, 7::bigint, 19 ),
( 06/29/2004::timestamp, 4::bigint, 6 ),
( 08/08/2013::timestamp, 2::bigint, 12 ),
( 12/06/2015::timestamp, 7::bigint, 3 ),
( 09/15/2001::timestamp, 2::bigint, 9 ),
( 05/21/2015::timestamp, 2::bigint, 19 ),
( 08/17/2005::timestamp, 0::bigint, 14 ),
( 07/20/2000::timestamp, 1::bigint, 19 ),
( 11/15/2013::timestamp, 5::bigint, 16 ),
( 05/17/2007::timestamp, 0::bigint, 4 ),
( 06/01/2013::timestamp, 2::bigint, 12 ),
( 12/26/2013::timestamp, 7::bigint, 19 ),
( 11/07/2000::timestamp, 2::bigint, 10 ),
( 01/15/2010::timestamp, 5::bigint, 3 ),
( 02/06/2012::timestamp, 0::bigint, 1 ),
( 11/14/2016::timestamp, 4::bigint, 18 ),
( 03/27/2008::timestamp, 5::bigint, 1 ),
( 09/12/2009::timestamp, 4::bigint, 8 ),
( 04/01/2015::timestamp, 2::bigint, 13 ),
( 06/30/2010::timestamp, 2::bigint, 10 ),
( 08/31/2001::timestamp, 6::bigint, 3 ),
( 04/08/2019::timestamp, 1::bigint, 7 ),
( 01/26/2001::timestamp, 6::bigint, 5 ),
( 11/06/2002::timestamp, 7::bigint, 17 ),
( 06/04/2012::timestamp, 0::bigint, 17 ),
( 04/17/2000::timestamp, 2::bigint, 12 ),
( 03/19/2005::timestamp, 0::bigint, 12 ),
( 06/27/2011::timestamp, 6::bigint, 7 ),
( 05/24/2012::timestamp, 7::bigint, 12 ),
( 07/10/2012::timestamp, 7::bigint, 1 ),
( 02/25/2010::timestamp, 4::bigint, 14 ),
( 06/05/2010::timestamp, 2::bigint, 19 ),
( 07/24/2014::timestamp, 2::bigint, 6 ),
( 07/01/2001::timestamp, 3::bigint, 4 ),
( 10/11/2000::timestamp, 6::bigint, 12 ),
( 01/25/2007::timestamp, 2::bigint, 5 ),
( 11/14/2018::timestamp, 7::bigint, 19 ),
( 02/10/2011::timestamp, 1::bigint, 3 ),
( 04/09/2005::timestamp, 4::bigint, 4 ),
( 10/28/2010::timestamp, 4::bigint, 2 ),
( 07/01/2004::timestamp, 3::bigint, 1 ),
( 06/05/2002::timestamp, 1::bigint, 17 ),
( 09/15/2003::timestamp, 7::bigint, 16 ),
( 07/19/2012::timestamp, 0::bigint, 18 ),
( 08/27/2018::timestamp, 1::bigint, 1 ),
( 05/19/2005::timestamp, 5::bigint, 14 ),
( 09/15/2001::timestamp, 5::bigint, 1 ),
( 02/05/2002::timestamp, 0::bigint, 7 ),
( 05/17/2007::timestamp, 7::bigint, 14 ),
( 02/11/2004::timestamp, 4::bigint, 17 ),
( 02/16/2004::timestamp, 7::bigint, 8 ),
( 06/18/2007::timestamp, 6::bigint, 3 ),
( 02/20/2005::timestamp, 3::bigint, 18 ),
( 04/03/2004::timestamp, 6::bigint, 18 ),
( 06/11/2004::timestamp, 1::bigint, 16 ),
( 07/19/2000::timestamp, 4::bigint, 18 ),
( 01/24/2000::timestamp, 3::bigint, 19 ),
( 11/02/2005::timestamp, 0::bigint, 2 ),
( 05/09/2008::timestamp, 6::bigint, 7 ),
( 04/13/2019::timestamp, 2::bigint, 2 ),
( 05/09/2013::timestamp, 3::bigint, 7 ),
( 02/28/2014::timestamp, 6::bigint, 16 ),
( 04/24/2016::timestamp, 1::bigint, 3 ),
( 06/27/2011::timestamp, 1::bigint, 12 ),
( 09/22/2010::timestamp, 3::bigint, 18 ),
( 10/11/2013::timestamp, 7::bigint, 16 ),
( 03/11/2010::timestamp, 3::bigint, 6 ),
( 11/12/2003::timestamp, 6::bigint, 16 ),
( 05/06/2001::timestamp, 4::bigint, 6 ),
( 11/05/2019::timestamp, 4::bigint, 16 ),
( 03/12/2002::timestamp, 7::bigint, 7 ),
( 08/26/2011::timestamp, 6::bigint, 6 ),
( 08/25/2019::timestamp, 7::bigint, 2 ),
( 02/05/2003::timestamp, 2::bigint, 6 ),
( 06/26/2003::timestamp, 1::bigint, 13 ),
( 01/14/2008::timestamp, 0::bigint, 3 ),
( 10/21/2004::timestamp, 5::bigint, 12 ),
( 03/29/2003::timestamp, 7::bigint, 13 ),
( 10/07/2016::timestamp, 1::bigint, 6 ),
( 09/03/2002::timestamp, 5::bigint, 17 ),
( 10/15/2013::timestamp, 4::bigint, 9 ),
( 07/20/2005::timestamp, 6::bigint, 11 ),
( 02/21/2011::timestamp, 5::bigint, 11 ),
( 03/25/2011::timestamp, 0::bigint, 7 ),
( 06/09/2011::timestamp, 0::bigint, 17 ),
( 05/13/2012::timestamp, 6::bigint, 9 ),
( 03/18/2006::timestamp, 1::bigint, 13 ),
( 09/29/2000::timestamp, 1::bigint, 6 ),
( 09/29/2006::timestamp, 2::bigint, 9 ),
( 06/11/2004::timestamp, 6::bigint, 13 ),
( 04/05/2001::timestamp, 1::bigint, 17 ),
( 04/21/2005::timestamp, 0::bigint, 12 ),
( 03/23/2007::timestamp, 0::bigint, 15 ),
( 08/24/2015::timestamp, 7::bigint, 11 ),
( 12/26/2006::timestamp, 1::bigint, 9 ),
( 03/07/2002::timestamp, 3::bigint, 6 ),
( 04/30/2007::timestamp, 2::bigint, 18 ),
( 12/05/2008::timestamp, 1::bigint, 3 ),
( 05/16/2006::timestamp, 7::bigint, 12 ),
( 11/20/2004::timestamp, 4::bigint, 10 ),
( 05/17/2005::timestamp, 4::bigint, 1 ),
( 11/01/2000::timestamp, 4::bigint, 6 ),
( 07/14/2004::timestamp, 6::bigint, 8 ),
( 06/17/2018::timestamp, 1::bigint, 14 ),
( 05/20/2003::timestamp, 7::bigint, 4 ),
( 08/20/2014::timestamp, 2::bigint, 3 ),
( 05/06/2004::timestamp, 2::bigint, 13 ),
( 09/08/2016::timestamp, 5::bigint, 7 ),
( 10/12/2012::timestamp, 4::bigint, 3 ),
( 03/20/2015::timestamp, 5::bigint, 7 ),
( 09/03/2002::timestamp, 2::bigint, 15 ),
( 07/28/2007::timestamp, 0::bigint, 17 ),
( 04/06/2005::timestamp, 4::bigint, 6 ),
( 03/25/2011::timestamp, 1::bigint, 14 ),
( 03/02/2019::timestamp, 2::bigint, 2 ),
( 07/22/2001::timestamp, 7::bigint, 15 ),
( 06/01/2013::timestamp, 5::bigint, 5 ),
( 12/29/2002::timestamp, 4::bigint, 3 ),
( 07/20/2000::timestamp, 4::bigint, 11 ),
( 08/05/2004::timestamp, 1::bigint, 18 ),
( 04/26/2018::timestamp, 7::bigint, 6 ),
( 09/27/2017::timestamp, 0::bigint, 16 ),
( 11/07/2000::timestamp, 7::bigint, 17 ),
( 03/12/2015::timestamp, 2::bigint, 9 ),
( 11/03/2000::timestamp, 3::bigint, 7 ),
( 02/06/2012::timestamp, 7::bigint, 13 ),
( 11/14/2016::timestamp, 1::bigint, 8 ),
( 05/16/2006::timestamp, 0::bigint, 17 ),
( 05/23/2012::timestamp, 5::bigint, 9 ),
( 01/10/2012::timestamp, 3::bigint, 8 ),
( 07/06/2001::timestamp, 1::bigint, 4 ),
( 09/10/2004::timestamp, 3::bigint, 4 ),
( 06/04/2004::timestamp, 2::bigint, 16 ),
( 11/04/2014::timestamp, 2::bigint, 4 ),
( 04/09/2007::timestamp, 0::bigint, 9 ),
( 09/23/2013::timestamp, 2::bigint, 18 ),
( 04/16/2019::timestamp, 2::bigint, 11 ),
( 11/07/2003::timestamp, 5::bigint, 19 ),
( 04/16/2012::timestamp, 4::bigint, 4 ),
( 05/06/2017::timestamp, 4::bigint, 4 ),
( 09/01/2018::timestamp, 4::bigint, 15 ),
( 12/16/2016::timestamp, 2::bigint, 5 ),
( 07/10/2012::timestamp, 0::bigint, 1 ),
( 04/05/2019::timestamp, 3::bigint, 10 ),
( 10/26/2000::timestamp, 1::bigint, 8 ),
( 08/29/2017::timestamp, 6::bigint, 10 ),
( 12/20/2000::timestamp, 7::bigint, 11 ),
( 03/03/2002::timestamp, 5::bigint, 13 ),
( 05/26/2010::timestamp, 5::bigint, 7 ),
( 07/19/2012::timestamp, 5::bigint, 12 ),
( 08/08/2013::timestamp, 0::bigint, 19 ),
( 11/21/2017::timestamp, 1::bigint, 5 ),
( 05/17/2007::timestamp, 2::bigint, 9 ),
( 12/26/2013::timestamp, 5::bigint, 2 ),
( 11/07/2000::timestamp, 0::bigint, 5 ),
( 04/03/2004::timestamp, 1::bigint, 18 ),
( 01/14/2019::timestamp, 6::bigint, 13 ),
